Contact ID,Full Name,Email,Title,Phone,Location,Last Engagement Date,Engagement Score,Account ID
c7ac15bc,Jose Huynh,jose.huynh@smith.com,Director of Marketing,001-864-475-1539,Vanessastad,2025-05-03,79.35,d5f63c80
12f82300,Daniel Hurley,daniel.hurley@smith.com,RevOps Manager,(373)270-7007x934,Nicholaston,2025-03-17,98.33,d5f63c80
6f233584,Rose Woods,rose.woods@smith.com,Software Engineer,923-869-1951x5452,West Markport,2025-04-06,22.2,d5f63c80
180b0286,Kyle Mcdonald,kyle.mcdonald@smith.com,Procurement Specialist,1906382061,Portershire,2025-02-14,32.46,d5f63c80
7fd55d40,Maria Jacobs,maria.jacobs@smith.com,IT Support Specialist,392-464-8725x51542,Lake Stacey,2025-03-11,8.23,d5f63c80
18cff907,Michelle Hurley,michelle.hurley@smith.com,Marketing Operations Manager,(803)409-0185x3940,Shawnhaven,2025-03-31,34.62,d5f63c80
fd56acc5,Gary Flores,gary.flores@smith.com,Demand Gen Manager,(590)062-4586x4590,Nancymouth,2025-04-11,10.54,d5f63c80
c62038d1,Joseph Phillips,joseph.phillips@smith.com,Marketing Manager,+1-485-827-5709,Pughstad,2025-03-17,51.17,d5f63c80
0ccf7ea8,Erika Oconnor,erika.oconnor@smith.com,Software Engineer,+1-443-486-6900x407,North Brian,2025-02-27,29.39,d5f63c80
62b23590,Charles Sampson,charles.sampson@smith.com,Head of Demand Gen,264-447-3952,East Marychester,2025-03-12,32.42,d5f63c80
8839fdac,Ashley Jackson,ashley.jackson@smith.com,Finance Manager,001-729-849-7413,Port Shelleyburgh,2025-02-18,7.67,d5f63c80
199c9e4f,Katherine Ross,katherine.ross@smith.com,Director of Marketing,001-238-731-9843x261,Smithville,2025-03-21,54.15,d5f63c80
87410dae,Sara Dunn,sara.dunn@smith.com,HR Generalist,230.930.2856x17000,Wrighthaven,2025-04-18,52.45,d5f63c80
eb472cf2,Catherine Lynch,catherine.lynch@smith.com,Procurement Specialist,294-513-4858,West Abigailhaven,2025-05-05,11.56,d5f63c80
819872b4,David Grant,david.grant@smith.com,Demand Gen Manager,(381)291-8619x9050,Josephmouth,2025-02-14,64.74,d5f63c80
b7d13df4,Amber Scott,amber.scott@clark.com,Product Manager,3615050313,North Christopherchester,2025-03-28,67.49,266f1336
328430a2,Aaron Ward,aaron.ward@clark.com,Marketing Manager,001-472-025-5727x4429,New Courtneyberg,2025-02-20,30.2,266f1336
f4b6b713,Zachary Anderson,zachary.anderson@clark.com,Procurement Specialist,025-746-0742x07990,Michaelmouth,2025-03-17,87.97,266f1336
4d7604a4,Lacey Phillips,lacey.phillips@clark.com,Customer Success Rep,792.269.5154x063,South Andre,2025-02-16,64.5,266f1336
c53036d5,Ross Erickson,ross.erickson@clark.com,Director of Marketing,896.305.1993x5686,Chavezborough,2025-03-26,24.79,266f1336
acffc3cf,Lori King,lori.king@clark.com,CMO,851-310-7252,North Angela,2025-05-02,8.85,266f1336
4d1c1554,Christina Wells,christina.wells@clark.com,Marketing Manager,145-601-6762x396,Lake Ian,2025-04-10,70.82,266f1336
17cb0e4a,Kelsey Miller,kelsey.miller@clark.com,Procurement Specialist,(940)892-5128x34824,Robertsport,2025-04-07,9.16,266f1336
cba0e6fc,Mark Singh,mark.singh@clark.com,Customer Success Rep,+1-016-590-8588x502,Lake James,2025-03-30,7.26,266f1336
f170bd0b,Roger Bowman,roger.bowman@clark.com,CFO,504.129.9964,Cherylview,2025-04-06,7.78,266f1336
5b5318ad,Jennifer Baxter,jennifer.baxter@clark.com,Demand Gen Manager,001-343-748-3813,Davidmouth,2025-02-24,85.34,266f1336
49114782,Matthew Krause,matthew.krause@clark.com,RevOps Manager,(701)712-7602x6920,Jakeland,2025-02-11,45.63,266f1336
e8c3be60,Paula Knapp,paula.knapp@clark.com,Head of Demand Gen,3478466041,Connorfurt,2025-03-26,56.16,266f1336
ac7c5d33,Rebecca Roberts,rebecca.roberts@clark.com,Head of Demand Gen,710-557-6612x13621,Nathanberg,2025-03-12,70.73,266f1336
70780c0a,Rebecca Thomas,rebecca.thomas@clark.com,Sales Representative,001-961-932-8252x715,Port Caleb,2025-04-17,47.42,266f1336
6e2690f5,Jackson Wilson,jackson.wilson@clark.com,Software Engineer,929.076.6288x260,Port Gavin,2025-02-07,92.28,266f1336
